截取次数,截取顺序,耗用钢筋,接头数,余料
27,"[4350, 4100, 4350, 4350, 4350, 4100, 4350, 4700, 4100, 4100, 4100, 4100, 4700, 4100]",5,4,150
22,"[4100, 4350, 4350, 4100, 4350, 4350, 4350, 4100, 4100, 4700, 4100, 4350, 4350, 4350]",5,4,0
11,"[4350, 4350, 4100, 4350, 4350, 4350, 4350, 4100, 4100, 4350, 4350, 4100, 4100, 4100, 4100, 4350, 4100]",6,5,50
9,"[4700, 4350, 4100, 4350, 4100, 4350, 4100, 4700, 4700, 4100, 4100, 4100, 4100, 4100]",5,4,50
9,"[4350, 4100, 4700, 4350, 4100, 4700, 4350, 4100, 4350, 4700, 4100]",4,3,100
9,"[4350, 4100, 4350, 4100, 4100, 4100, 4350, 4350, 4100, 4100, 4350, 4350, 4100, 4100, 4100, 4100, 4100, 4350, 4100, 4350]",7,6,0
8,"[4100, 4100, 4100, 4350, 4100, 4700, 4100, 4100, 4100, 4100, 4700, 4350, 4350, 4350, 4100, 4100, 4100]",6,5,100
8,"[4100, 4100, 4350, 4100, 4700, 4350, 4100, 4100, 4100, 4100, 4100, 4100, 4350, 4100, 4350, 4100, 4350, 4100, 4100, 4100]",7,6,150
3,"[4100, 4350, 4100, 4350, 4100, 4350, 4100, 4350, 4350, 4350, 4350, 4350, 4350, 4350]",5,4,100
2,"[4350, 4100, 4100, 4100, 4100, 4100, 4700, 4100, 4100, 4100, 4100, 4100, 4350, 4350, 4100, 4100, 4100, 4700, 4100, 4100]",7,6,50
1,"[4350, 4350, 4700, 4100, 4700, 4700, 4350, 4700]",3,2,50
1,"[4100, 4100, 4100, 4350, 4350, 4100, 4100, 4100]",3,2,2700
